[contextual, contextual-1-2a-dist, J,N,I&RA&4]<MYSEP>1.5950644609802607E-6
[contextual, contextual-2-4a-dist, MID,MID,C&LA&0]<MYSEP>-0.010935951480294899
[contextual, contextual-2-4a-dist, J,D,N&RA&5]<MYSEP>4.303976429032246E-6
[contextual, contextual-2-4a-dist, D,C,N&RA&3]<MYSEP>-0.014830601154311411
[contextual, contextual-2-4a-dist, D,C,N&RA&5]<MYSEP>-0.009511693664939336
[contextual, contextual-2-4a-dist, C,N,I&RA&5]<MYSEP>-2.576790070349312E-6
[contextual, contextual-2-4a-dist, N,C,N&RA&10]<MYSEP>-6.709069460495728E-5
[contextual, contextual-2-4a-dist, MID,MID,I&LA&0]<MYSEP>-0.003998631103936065
[contextual, contextual-2-4a-dist, D,I,D&LA&3]<MYSEP>-0.0010215361260675943
[contextual, contextual-2-4a-dist, C,N,V&LA&4]<MYSEP>0.03941644263810959
[contextual, contextual-2-4a-dist, D,J,N&LA&2]<MYSEP>-0.004665520131469493
[contextual, contextual-2-4a-dist, MID,MID,I&RA&0]<MYSEP>0.0841547755638107
[contextual, contextual-2-4a-dist, I,I,D&LA&1]<MYSEP>-8.11435663347029E-4
[contextual, contextual-2-4a-dist, C,D,J&RA&2]<MYSEP>-2.3959726273657897E-4
[contextual, contextual-2-4a-dist, I,I,D&LA&4]<MYSEP>-2.221476114078293E-5
[contextual, contextual-2-4a-dist, I,C,N&RA&4]<MYSEP>-0.01047716128554807
[contextual, contextual-2-4a-dist, J,C,N&LA&10]<MYSEP>-1.9710676772133058E-7
[contextual, contextual-2-4a-dist, I,C,N&RA&5]<MYSEP>-0.008487382665387733
[contextual, contextual-2-4a-dist, N,N,.&RA&10]<MYSEP>-0.006584364196521288
[contextual, contextual-2-4a-dist, V,N,.&RA&5]<MYSEP>-7.42239514905809E-5
[contextual, contextual-2-4a-dist, N,I,D&LA&2]<MYSEP>-6.536597968725632E-5
[contextual, contextual-2-4a-dist, J,N,.&LA&10]<MYSEP>9.78874221005677E-6
[contextual, contextual-2-4a-dist, C,C,D&LA&1]<MYSEP>-0.0015407886902587822
[contextual, contextual-2-4a-dist, J,V,I&RA&3]<MYSEP>7.331022737653782E-6
[contextual, contextual-2-4a-dist, N,I,D&LA&3]<MYSEP>6.324512049359418E-6
[contextual, contextual-2-4a-dist, N,I,D&RA&10]<MYSEP>-2.9138688860772303E-5
[contextual, contextual-2-4a-dist, J,N,V&LA&2]<MYSEP>-0.002484402337217428
[contextual, contextual-2-4a-dist, C,D,N&RA&10]<MYSEP>3.852632983684051E-6
[contextual, contextual-2-4a-dist, N,I,D&LA&5]<MYSEP>2.7645439741751016E-6
[contextual, contextual-2-4a-dist, MID,MID,.&LA&0]<MYSEP>-0.011545010841589605
[contextual, contextual-2-4a-dist, V,D,N&RA&3]<MYSEP>-3.0633028600151883E-6
[contextual, contextual-2-4a-dist, V,D,N&RA&5]<MYSEP>1.964315662750916E-6
[contextual, contextual-2-4a-dist, V,C,N&LA&5]<MYSEP>2.4076121644071528E-6
[contextual, contextual-2-4a-dist, C,D,N&LA&5]<MYSEP>-1.8738137783517888E-5
[contextual, contextual-2-4a-dist, J,N,C&RA&5]<MYSEP>7.739973700025985E-6
[contextual, contextual-1-1a, R,N,J,N]<MYSEP>-2.862686565121046E-4
[contextual, contextual-1-1a, D,N,N,C]<MYSEP>-0.013590132200066671
[contextual, contextual-1-1a, C,N,.,END]<MYSEP>-0.021446384396560415
[contextual, contextual-1-1a, R,N,N,I]<MYSEP>-2.316186013695434E-5
[contextual, contextual-1-1a, STR,R,.,END]<MYSEP>-0.006585073181846008
[contextual, contextual-1-1a, N,C,N,.]<MYSEP>0.06624552350496694
[contextual, contextual-1-1a, R,N,V,I]<MYSEP>0.03318931973536006
[contextual, contextual-1-1a, STR,R,C,N]<MYSEP>-1.6338083392448917E-4
[contextual, contextual-1-1a, V,I,N,.]<MYSEP>-0.010244493652363709
[contextual, contextual-1-1a, N,V,N,.]<MYSEP>-0.008493224896191358
[contextual, contextual-1-1a, J,N,N,.]<MYSEP>9.69879323342634E-6
[contextual, contextual-1-1a, STR,R,I,D]<MYSEP>-0.003147435528939779
[contextual, contextual-1-1a, I,D,C,N]<MYSEP>-5.239009083335656E-4
[contextual, contextual-1-1a, C,D,N,.]<MYSEP>6.103639867090531E-6
[contextual, contextual-1-1a, D,N,N,.]<MYSEP>-0.0263239813389807
[contextual, contextual-1-1a, STR,R,C,D]<MYSEP>-0.006562493963662614
[contextual, contextual-1-1a, I,D,I,D]<MYSEP>-4.2334655949544E-4
[contextual, contextual-1-1a, R,N,N,C]<MYSEP>-5.142659454686321E-6
[contextual, contextual-1-1a, R,N,D,N]<MYSEP>-1.7993532355102474E-5
[contextual, contextual-1-1a, N,C,D,J]<MYSEP>-0.024884095769191327
[contextual, contextual-1-1a, C,D,.,END]<MYSEP>1.2832620558130383E-5
[contextual, contextual-1-1a, N,V,.,END]<MYSEP>0.041529875474687866
[contextual, contextual-1-1a, R,N,D,J]<MYSEP>-0.0043608367175938184
[contextual, contextual-1-1a, N,C,N,C]<MYSEP>-6.200881763054182E-6
[contextual, contextual-1-1a, N,C,D,N]<MYSEP>6.503664081287221E-6
[contextual, contextual-1-1a, J,N,D,N]<MYSEP>1.0322897759987489E-5
[contextual, contextual-1-1a, N,C,N,I]<MYSEP>-6.1006761722712905E-6
[contextual, contextual-1-1a, N,C,J,N]<MYSEP>-0.0021111639368882875
[contextual, contextual-1-1a, J,N,N,C]<MYSEP>4.8492433720907235E-6
[contextual, contextual-1-1a, J,N,N,I]<MYSEP>-4.667494055425063E-6
[contextual, contextual-1-1a, J,N,.,END]<MYSEP>-6.299671855447453E-5
[contextual, contextual-1-1a, V,I,D,N]<MYSEP>-0.027717182426107753
[contextual, contextual-1-1a, V,I,N,C]<MYSEP>-0.02367259134923959
[contextual, contextual-1-1a, N,C,V,I]<MYSEP>-0.022832204943522644
[contextual, contextual-1-1a, R,N,N,.]<MYSEP>5.4093787404074785E-6
[contextual, contextual-1-1a, N,I,C,N]<MYSEP>-0.011800790374539454
[contextual, contextual-1-1a, N,C,N,V]<MYSEP>0.039607251438767525
[contextual, contextual-1-1a, J,N,V,I]<MYSEP>-0.023568084800819643
[contextual, contextual-1-1a, D,J,I,D]<MYSEP>1.3694784310545022E-5
[contextual, contextual-1-1a, V,I,N,I]<MYSEP>0.03921967342888396
[contextual, contextual-1-1a, N,C,.,END]<MYSEP>-0.020681682849694363
[contextual, contextual-1-1a, C,D,I,D]<MYSEP>1.1503074121862312E-5
[contextual, contextual-1-1a, N,V,N,I]<MYSEP>-0.019636747821624587
[contextual, contextual-1-1a, STR,R,N,V]<MYSEP>-0.003185892624217405
[contextual, contextual-1-1a, D,N,D,N]<MYSEP>-0.005460536608609207
[contextual, contextual-1-1a, N,V,N,C]<MYSEP>-0.009988857377406134
[contextual, contextual-1-1a, C,D,C,N]<MYSEP>3.164940460220751E-6
[contextual, contextual-1-1a, N,V,D,N]<MYSEP>-0.007171296569331345
[contextual, contextual-1-1a, D,J,C,N]<MYSEP>2.48800597424724E-6
[contextual, contextual-1-1a, STR,R,V,I]<MYSEP>0.01727049284697498
[contextual, contextual-1-1a, D,N,C,N]<MYSEP>0.04462369570115072
[contextual, contextual-1-1a, D,J,N,I]<MYSEP>5.799067711088855E-7
[contextual, contextual-1-1a, D,N,I,D]<MYSEP>0.047070505421246814
[contextual, contextual-1-1a, STR,R,J,N]<MYSEP>-6.338222388131479E-6
[contextual, contextual-1-1a, C,D,V,I]<MYSEP>-0.0024976166548270323
[contextual, contextual-1-1a, STR,R,N,I]<MYSEP>-8.418868638778699E-4
[contextual, contextual-1-1a, D,J,N,V]<MYSEP>0.028786914011092204
[contextual, contextual-1-1a, I,D,N,.]<MYSEP>-2.8357393735975033E-4
[contextual, contextual-1-1a, D,J,V,I]<MYSEP>-3.485072840448392E-4
[contextual, contextual-1-1a, C,D,N,V]<MYSEP>0.04193831187020347
[contextual, contextual-1-1a, STR,R,D,N]<MYSEP>-1.2072402707590557E-4
[contextual, contextual-1-1a, D,N,.,END]<MYSEP>-0.03746326054767233
[contextual, contextual-1-1a, V,I,.,END]<MYSEP>-0.02017653346005133
[contextual, contextual-1-1a, STR,R,N,C]<MYSEP>-0.02846590239928556
[contextual, contextual-1-1a, STR,R,D,J]<MYSEP>-1.060712439962746E-4
[contextual, contextual-1-1a, D,J,.,END]<MYSEP>3.178938980194775E-6
[contextual, contextual-1-1a, I,D,D,N]<MYSEP>-7.89325778014069E-5
[contextual, contextual-1-1a, I,D,N,C]<MYSEP>0.02533255833607313
[contextual, contextual-1-1a, R,N,C,D]<MYSEP>0.024487043967675454
[contextual, contextual-1-1a, R,N,C,N]<MYSEP>4.306784248128599E-6
[contextual, contextual-1-1a, N,C,I,D]<MYSEP>-1.568707115416661E-5
[contextual, contextual-1-1a, N,I,N,.]<MYSEP>-0.015236632931180223
[contextual, contextual-1-1a, N,I,.,END]<MYSEP>-0.013675916609926444
[contextual, contextual-1-1a, R,N,I,D]<MYSEP>-9.251443878498414E-5
[contextual, contextual-1-1a, N,C,C,N]<MYSEP>4.174255521074813E-6
[contextual, contextual-1-1a, N,V,I,D]<MYSEP>0.013444852262869577
[contextual, contextual-1-1a, D,J,N,.]<MYSEP>3.7434073290787116E-6
[contextual, contextual-1-1a, J,N,I,D]<MYSEP>-1.8568284532696784E-5
[contextual, contextual-1-1a, I,D,.,END]<MYSEP>-0.005197087486042378
[contextual, contextual-1-1a, STR,R,N,.]<MYSEP>-6.511945982302402E-5
[contextual, contextual-1-1a, J,N,C,N]<MYSEP>1.9246181721669794E-6
[contextual, contextual-1-1a, V,I,C,N]<MYSEP>-0.01004205141187412
[contextual, contextual-1-1a, V,I,I,D]<MYSEP>-0.017302782135219758
[contextual, contextual-1-1a, I,D,N,I]<MYSEP>0.024664644351143926
[contextual, contextual-1-1a, C,D,N,I]<MYSEP>-2.605328565732584E-8
[contextual, contextual-1-1a, N,I,D,N]<MYSEP>-0.02213738139775996
[contextual, contextual-1-1a, N,I,N,C]<MYSEP>0.0648587768757262
[contextual, contextual-1-1a, C,D,J,N]<MYSEP>-0.044061729752155776
[contextual, contextual-1-1a, R,N,.,END]<MYSEP>-7.367441899551802E-5
[contextual, contextual-1-1a, R,N,N,V]<MYSEP>-0.01805527818836725
[contextual, contextual-1-1a, D,J,D,N]<MYSEP>9.293389616309393E-6
[contextual, contextual-1-1a, N,V,C,N]<MYSEP>-0.011086970146516807
[contextual, contextual-1-1a, C,D,N,C]<MYSEP>5.079936764351853E-6
[contextual, contextual-1-1a, C,D,D,N]<MYSEP>8.692876207409851E-6
[contextual, contextual-1-1a, D,J,N,C]<MYSEP>3.3464117380924044E-6
[contextual, contextual-1-4a-dist, J,N,I&RA&3]<MYSEP>6.808548218472727E-7
[contextual, contextual-1-4a-dist, C,D,I&LA&2]<MYSEP>-0.002491394861242409
[contextual, contextual-1-4a-dist, J,N,I&RA&0]<MYSEP>-0.0046722378335535076
[contextual, contextual-1-4a-dist, D,N,.&LA&1]<MYSEP>-3.382225241581597E-4
[contextual, contextual-1-4a-dist, C,D,V&LA&1]<MYSEP>0.04703265293414638
[contextual, contextual-1-4a-dist, N,C,V&LA&2]<MYSEP>-0.004665887504157272
[contextual, contextual-1-4a-dist, C,D,I&LA&5]<MYSEP>-7.184139060121905E-7
[contextual, contextual-1-4a-dist, R,N,D&LA&0]<MYSEP>-0.007884047226684803
[contextual, contextual-1-4a-dist, J,N,END&RA&5]<MYSEP>-7.28913068203732E-5
[contextual, contextual-1-4a-dist, R,N,D&LA&5]<MYSEP>-7.624774466310183E-5
[contextual, contextual-1-4a-dist, C,N,END&RA&0]<MYSEP>-0.009909764356305443
[contextual, contextual-1-4a-dist, C,D,V&RA&1]<MYSEP>-0.005091918553420688
[contextual, contextual-1-4a-dist, N,C,D&RA&5]<MYSEP>2.5070189205340017E-6
[contextual, contextual-1-4a-dist, N,C,D&RA&4]<MYSEP>-2.0935806417172898E-5
[contextual, contextual-1-4a-dist, I,D,N&RA&4]<MYSEP>-8.7934128388109E-5
[contextual, contextual-1-4a-dist, N,V,N&RA&1]<MYSEP>-0.004439655909728008
[contextual, contextual-1-4a-dist, N,V,N&RA&5]<MYSEP>-0.011064702475299792
[contextual, contextual-1-4a-dist, N,V,N&RA&4]<MYSEP>-0.002633980495723393
[contextual, contextual-1-4a-dist, STR,R,V&RA&4]<MYSEP>-0.003184256890819294
[contextual, contextual-1-4a-dist, R,N,C&LA&10]<MYSEP>-4.663830145376329E-7
[contextual, contextual-1-4a-dist, C,D,I&RA&5]<MYSEP>3.386673936413847E-6
[contextual, contextual-1-4a-dist, D,J,D&LA&5]<MYSEP>-2.1626918213427065E-6
[contextual, contextual-1-4a-dist, J,N,I&LA&0]<MYSEP>-0.01890067451523866
[contextual, contextual-1-4a-dist, C,D,I&RA&2]<MYSEP>-5.393326031017197E-6
[contextual, contextual-1-4a-dist, J,N,I&LA&3]<MYSEP>4.35669994778306E-6
[contextual, contextual-1-4a-dist, D,N,END&RA&2]<MYSEP>-0.00697526888515449
[contextual, contextual-1-4a-dist, D,N,END&RA&5]<MYSEP>-0.006031506329067858
[contextual, contextual-1-4a-dist, N,C,V&RA&2]<MYSEP>0.04427703829573262
[contextual, contextual-1-4a-dist, D,N,D&LA&0]<MYSEP>-0.003252335419053839
[contextual, contextual-1-4a-dist, I,D,N&RA&2]<MYSEP>-7.461221391913735E-6
[contextual, contextual-1-4a-dist, N,I,END&LA&4]<MYSEP>-0.009745722396189326
[contextual, contextual-1-4a-dist, I,D,N&RA&1]<MYSEP>-2.1233816756933112E-4
[contextual, contextual-1-4a-dist, D,N,.&RA&4]<MYSEP>-0.010479115903319042
[contextual, contextual-1-4a-dist, STR,R,.&RA&10]<MYSEP>-6.230073651455122E-5
[contextual, contextual-1-4a-dist, D,N,.&RA&1]<MYSEP>-0.015166740672413668
[contextual, contextual-1-4a-dist, N,V,C&RA&5]<MYSEP>-0.009972218428572321
[contextual, contextual-1-4a-dist, J,N,N&LA&2]<MYSEP>5.091557035018078E-6
[contextual, contextual-1-4a-dist, J,N,N&LA&5]<MYSEP>3.792648377201962E-6
[contextual, contextual-1-4a-dist, D,J,D&LA&2]<MYSEP>2.857948196484086E-6
[contextual, contextual-1-4a-dist, N,C,D&LA&5]<MYSEP>-5.126018255283581E-7
[contextual, contextual-1-4a-dist, N,C,N&LA&10]<MYSEP>5.272028545369603E-6
[contextual, contextual-1-4a-dist, N,V,.&LA&5]<MYSEP>-7.56482439370771E-6
[contextual, contextual-1-4a-dist, N,C,D&LA&4]<MYSEP>-1.2781377788203507E-6
[contextual, contextual-1-4a-dist, R,N,D&RA&5]<MYSEP>-1.9906222554665176E-5
[contextual, contextual-1-4a-dist, I,D,N&LA&1]<MYSEP>-1.585648581927276E-4
[contextual, contextual-1-4a-dist, R,N,N&RA&10]<MYSEP>5.001722244128973E-6
[contextual, contextual-1-4a-dist, I,D,END&RA&3]<MYSEP>-2.6573930606360524E-5
[contextual, contextual-1-4a-dist, J,N,END&LA&5]<MYSEP>4.58153928459895E-6
[contextual, contextual-1-4a-dist, R,N,D&RA&0]<MYSEP>0.03236772608409765
[contextual, contextual-1-4a-dist, I,D,N&LA&4]<MYSEP>-6.828993507864734E-5
[contextual, contextual-1-4a-dist, D,N,.&LA&4]<MYSEP>-3.372596005727437E-4
[contextual, contextual-1-4a-dist, V,I,END&RA&5]<MYSEP>-0.0026603943349415965
[contextual, contextual-1-4a-dist, D,J,.&LA&5]<MYSEP>-1.4913190834579283E-8
[contextual, contextual-1-4a-dist, I,D,END&RA&5]<MYSEP>-2.6664040062636176E-5
[contextual, contextual-1-4a-dist, R,N,END&RA&10]<MYSEP>-3.339380654214517E-5
[contextual, contextual-1-4a-dist, I,D,N&LA&2]<MYSEP>-6.59785509940276E-5
[contextual, contextual-1-4a-dist, R,N,J&RA&1]<MYSEP>-0.0028190393558390563
[contextual, contextual-1-4a-dist, C,D,END&LA&10]<MYSEP>1.0503056442569407E-5
[contextual, contextual-1-4a-dist, N,C,.&RA&0]<MYSEP>0.07023976129067679
[contextual, contextual-1-4a-dist, V,I,D&RA&2]<MYSEP>-0.016067073198194053
[contextual, contextual-1-4a-dist, I,D,C&LA&0]<MYSEP>0.03416829858623692
[contextual, contextual-1-4a-dist, D,J,C&RA&5]<MYSEP>4.210450180509663E-6
[contextual, contextual-1-4a-dist, STR,R,N&RA&10]<MYSEP>-1.8999275284910607E-4
[contextual, contextual-1-4a-dist, V,I,C&RA&4]<MYSEP>-0.021179887983010542
[contextual, contextual-1-4a-dist, D,N,N&RA&3]<MYSEP>-0.01566183442879534
[contextual, contextual-1-4a-dist, N,C,I&RA&5]<MYSEP>-1.0098467712606106E-5
[contextual, contextual-1-4a-dist, N,V,C&LA&5]<MYSEP>-1.9218982370570007E-5
[contextual, contextual-1-4a-dist, D,J,D&RA&2]<MYSEP>7.759592748664474E-6
[contextual, contextual-1-4a-dist, D,N,N&RA&1]<MYSEP>-0.004726509104226721
[contextual, contextual-1-4a-dist, N,C,I&RA&3]<MYSEP>-0.0022555570788487076
[contextual, contextual-1-4a-dist, STR,R,D&RA&5]<MYSEP>-0.003145041954518037
[contextual, contextual-1-4a-dist, I,D,C&LA&3]<MYSEP>-1.9038427790254875E-4
[contextual, contextual-1-4a-dist, STR,R,D&RA&1]<MYSEP>-0.006566259493598999
[contextual, contextual-1-4a-dist, I,D,D&LA&1]<MYSEP>-1.5774182107082302E-4
[contextual, contextual-1-4a-dist, D,N,N&RA&0]<MYSEP>0.06402148588985702
[contextual, contextual-1-4a-dist, D,J,D&RA&5]<MYSEP>4.821933336981933E-6
[contextual, contextual-1-4a-dist, V,I,N&RA&5]<MYSEP>-0.009171826020949351
[contextual, contextual-1-4a-dist, V,I,N&RA&3]<MYSEP>-0.002553930879185404
[contextual, contextual-1-4a-dist, V,I,N&RA&0]<MYSEP>-0.023256176555746185
[contextual, contextual-1-4a-dist, V,I,END&LA&5]<MYSEP>-0.017514439145313455
[contextual, contextual-1-4a-dist, R,N,J&LA&1]<MYSEP>-0.0015417474044540497
[contextual, contextual-1-4a-dist, STR,R,END&RA&10]<MYSEP>-0.006587629789607491
[contextual, contextual-1-4a-dist, R,N,C&RA&10]<MYSEP>5.969640138858696E-7
[contextual, contextual-1-4a-dist, R,N,I&RA&4]<MYSEP>-0.0062239563054782045
[contextual, contextual-1-4a-dist, R,N,I&RA&5]<MYSEP>1.2838694059232045E-6
[contextual, contextual-1-4a-dist, C,D,D&LA&5]<MYSEP>5.91432923223032E-6
[contextual, contextual-1-4a-dist, C,D,D&LA&3]<MYSEP>-9.043363528307705E-7
[contextual, contextual-1-4a-dist, R,N,V&LA&3]<MYSEP>-0.0015792772554462837
[contextual, contextual-1-4a-dist, N,I,N&LA&0]<MYSEP>-2.553493071224286E-4
[contextual, contextual-1-4a-dist, N,I,N&LA&2]<MYSEP>-3.926466647501854E-4
[contextual, contextual-1-4a-dist, N,V,.&RA&5]<MYSEP>-0.008486135451678454
[contextual, contextual-1-4a-dist, N,I,.&LA&3]<MYSEP>-4.0691296310751165E-4
[contextual, contextual-1-4a-dist, R,N,N&RA&5]<MYSEP>1.2569223430612723E-6
[contextual, contextual-1-4a-dist, N,V,END&RA&5]<MYSEP>0.04464313266055119
[contextual, contextual-1-4a-dist, I,D,C&RA&3]<MYSEP>-1.5412777625555584E-4
[contextual, contextual-1-4a-dist, I,D,I&RA&0]<MYSEP>-0.0066618336653033305
[contextual, contextual-1-4a-dist, R,N,N&RA&2]<MYSEP>-2.4150594781381453E-4
[contextual, contextual-1-4a-dist, V,I,D&LA&2]<MYSEP>-0.0012368135026732184
[contextual, contextual-1-4a-dist, I,D,C&RA&0]<MYSEP>-0.00849712420424836
[contextual, contextual-1-4a-dist, V,I,I&LA&1]<MYSEP>-0.006276279158901404
[contextual, contextual-1-4a-dist, N,C,I&LA&3]<MYSEP>-0.020586836620778582
[contextual, contextual-1-4a-dist, N,C,I&LA&5]<MYSEP>-2.507635238340467E-6
[contextual, contextual-1-4a-dist, D,N,N&LA&1]<MYSEP>-7.424661460318302E-4
[contextual, contextual-1-4a-dist, V,I,C&LA&4]<MYSEP>-0.00249516439979284
[contextual, contextual-1-4a-dist, R,N,N&LA&10]<MYSEP>1.8358150325571696E-6
[contextual, contextual-1-4a-dist, N,C,C&LA&5]<MYSEP>-1.0902081584564867E-6
[contextual, contextual-1-4a-dist, D,N,N&LA&0]<MYSEP>-0.0030522300116008943
[contextual, contextual-1-4a-dist, J,N,.&RA&5]<MYSEP>3.0080584356953464E-6
[contextual, contextual-1-4a-dist, STR,R,C&RA&0]<MYSEP>-0.02820359037960564
[contextual, contextual-1-4a-dist, N,V,N&LA&4]<MYSEP>-1.9167900183872486E-5
[contextual, contextual-1-4a-dist, N,V,N&LA&1]<MYSEP>-7.759750517669987E-5
[contextual, contextual-1-4a-dist, D,N,N&LA&3]<MYSEP>-6.740239120385553E-4
[contextual, contextual-1-4a-dist, N,I,END&RA&4]<MYSEP>-0.0039352194229779255
[contextual, contextual-1-4a-dist, D,N,END&LA&5]<MYSEP>-0.012820648747128986
[contextual, contextual-1-4a-dist, C,D,D&RA&3]<MYSEP>4.55500940798557E-7
[contextual, contextual-1-4a-dist, D,N,END&LA&2]<MYSEP>-0.011640825555658499
[contextual, contextual-1-4a-dist, C,D,D&RA&5]<MYSEP>5.019346175118826E-6
[contextual, contextual-1-4a-dist, N,C,.&RA&10]<MYSEP>1.970652878504519E-6
[contextual, contextual-1-4a-dist, N,C,END&LA&10]<MYSEP>4.420407430158481E-6
[contextual, contextual-1-4a-dist, R,N,I&LA&5]<MYSEP>-1.9390817810870848E-5
[contextual, contextual-1-4a-dist, N,V,END&LA&5]<MYSEP>-0.0031173229553044884
[contextual, contextual-1-4a-dist, R,N,I&LA&4]<MYSEP>0.039408054078726454
[contextual, contextual-1-4a-dist, N,I,.&RA&3]<MYSEP>-0.01482710258059479
[contextual, contextual-1-4a-dist, STR,R,I&RA&5]<MYSEP>0.016425612201198158
[contextual, contextual-1-4a-dist, N,V,N&LA&5]<MYSEP>-1.553701922127442E-5
[contextual, contextual-1-4a-dist, R,N,.&RA&10]<MYSEP>6.6326028494714385E-6
[contextual, contextual-1-4a-dist, N,C,N&RA&5]<MYSEP>7.57672421662577E-6
[contextual, contextual-1-4a-dist, I,D,I&LA&0]<MYSEP>0.031331324526254256
[contextual, contextual-1-4a-dist, N,C,N&RA&1]<MYSEP>-0.002109864231620303
[contextual, contextual-1-4a-dist, STR,R,J&RA&2]<MYSEP>-1.0640877338726561E-4
[contextual, contextual-1-4a-dist, N,V,I&LA&2]<MYSEP>-6.984477464492995E-5
[contextual, contextual-1-4a-dist, V,I,I&RA&1]<MYSEP>0.045505384792110345
[contextual, contextual-1-4a-dist, R,N,N&LA&5]<MYSEP>-1.8340543176735348E-5
[contextual, contextual-1-4a-dist, J,N,.&LA&5]<MYSEP>2.2487533390346697E-6
[contextual, contextual-1-4a-dist, C,D,END&RA&10]<MYSEP>2.1266963277562194E-6
[contextual, contextual-1-4a-dist, R,N,N&LA&2]<MYSEP>-4.49840704146033E-5
[contextual, contextual-1-4a-dist, N,C,C&RA&5]<MYSEP>-1.878419063315551E-6
[contextual, contextual-1-4a-dist, N,I,C&RA&1]<MYSEP>0.06806260889054565
[contextual, contextual-1-4a-dist, R,N,END&LA&10]<MYSEP>-4.174819516181328E-5
[contextual, contextual-1-4a-dist, D,J,I&LA&4]<MYSEP>1.746173654640342E-6
[contextual, contextual-1-4a-dist, C,D,N&RA&5]<MYSEP>2.9268656228405005E-6
[contextual, contextual-1-4a-dist, C,D,N&RA&4]<MYSEP>5.115025155562809E-6
[contextual, contextual-1-4a-dist, N,C,END&LA&1]<MYSEP>-0.012281789806237583
[contextual, contextual-1-4a-dist, C,D,N&RA&0]<MYSEP>-0.02674536447926599
[contextual, contextual-1-4a-dist, C,D,.&LA&10]<MYSEP>4.197325966455504E-6
[contextual, contextual-1-4a-dist, N,C,N&LA&5]<MYSEP>-2.100488971807736E-6
[contextual, contextual-1-4a-dist, D,J,I&LA&1]<MYSEP>-3.509496220056693E-4
[contextual, contextual-1-4a-dist, D,J,V&RA&0]<MYSEP>-6.420585300358359E-4
[contextual, contextual-1-4a-dist, C,D,C&RA&5]<MYSEP>4.763016637701992E-6
[contextual, contextual-1-4a-dist, N,C,N&LA&1]<MYSEP>-9.239969153473061E-6
[contextual, contextual-1-4a-dist, N,V,I&RA&2]<MYSEP>-0.019567479949626005
[contextual, contextual-1-4a-dist, D,N,C&LA&2]<MYSEP>-6.024611293037032E-4
[contextual, contextual-1-4a-dist, N,C,J&RA&0]<MYSEP>-0.024335567454969273
[contextual, contextual-1-4a-dist, N,C,END&RA&10]<MYSEP>-6.23478142931438E-5
[contextual, contextual-1-4a-dist, I,D,D&RA&1]<MYSEP>-2.615137588456718E-4
[contextual, contextual-1-4a-dist, STR,R,N&RA&5]<MYSEP>-9.413352056822716E-5
[contextual, contextual-1-4a-dist, STR,R,N&RA&3]<MYSEP>-1.2827006020648933E-5
[contextual, contextual-1-4a-dist, N,I,C&LA&1]<MYSEP>-0.003201344522617323
[contextual, contextual-1-4a-dist, N,C,.&LA&10]<MYSEP>6.4678103326813685E-6
[contextual, contextual-1-4a-dist, N,C,J&LA&0]<MYSEP>-5.519582971466754E-4
[contextual, contextual-1-4a-dist, N,C,END&RA&1]<MYSEP>-0.00834554429986035
[contextual, contextual-1-4a-dist, R,N,V&RA&3]<MYSEP>-0.01647872246663229
[contextual, contextual-1-4a-dist, N,I,N&RA&0]<MYSEP>-0.021882119066918337
[contextual, contextual-1-4a-dist, D,J,V&LA&0]<MYSEP>0.029427914880856526
[contextual, contextual-1-4a-dist, N,I,N&RA&2]<MYSEP>-0.01140385057794795
[contextual, contextual-1-4a-dist, D,J,I&RA&4]<MYSEP>-6.757002163012618E-7
[contextual, contextual-1-4a-dist, V,I,N&LA&5]<MYSEP>-8.702194596194859E-4
[contextual, contextual-1-4a-dist, D,J,I&RA&1]<MYSEP>8.185888704261742E-6
[contextual, contextual-1-4a-dist, V,I,N&LA&0]<MYSEP>-8.887515040686398E-4
[contextual, contextual-1-4a-dist, V,I,N&LA&3]<MYSEP>-0.0010158688052695707
[contextual, contextual-1-4a-dist, N,C,.&LA&0]<MYSEP>-0.003991085077066444
[contextual, contextual-1-4a-dist, D,N,C&RA&2]<MYSEP>-0.01298257468349947
[contextual, contextual-1-4a-dist, N,V,D&LA&3]<MYSEP>-4.8401938278792565E-5
[contextual, contextual-1-4a-dist, N,V,D&LA&0]<MYSEP>-7.511949492975862E-4
[contextual, contextual-1-4a-dist, I,D,.&RA&2]<MYSEP>-9.89316468426279E-5
[contextual, contextual-1-4a-dist, J,N,N&RA&2]<MYSEP>-1.1696383890508423E-6
[contextual, contextual-1-4a-dist, D,J,END&LA&10]<MYSEP>7.5242864858532215E-6
[contextual, contextual-1-4a-dist, J,N,N&RA&5]<MYSEP>6.520236977801806E-7
[contextual, contextual-1-4a-dist, C,D,C&LA&5]<MYSEP>3.59147752483323E-6
[contextual, contextual-1-4a-dist, D,J,N&RA&3]<MYSEP>8.009129108606426E-6
[contextual, contextual-1-4a-dist, D,N,D&RA&0]<MYSEP>0.05032481519076289
[contextual, contextual-1-4a-dist, STR,R,C&RA&10]<MYSEP>-2.5908378259370415E-4
[contextual, contextual-1-4a-dist, D,J,N&RA&5]<MYSEP>2.46034861277854E-6
[contextual, contextual-1-4a-dist, D,J,.&RA&5]<MYSEP>3.795087648110656E-6
[contextual, contextual-1-4a-dist, D,J,C&LA&5]<MYSEP>5.656658330631513E-6
